[26-Jun-2025 07:33:36 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:36:43 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:37:21 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:37:33 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:38:05 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:40:27 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:47:20 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:47:34 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:47:34 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:47:39 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:47:40 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:47:40 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:50:01 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:50:02 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:50:02 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:50:07 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:50:23 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:50:25 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:50:25 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:50:28 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:58:36 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:58:38 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:58:38 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 07:58:50 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:00:07 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:00:07 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:02:15 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:02:16 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:02:16 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:09:45 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:15:15 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:21:41 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:21:50 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:21:50 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:21:57 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:22:57 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:22:57 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:29:47 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:29:50 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:29:50 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:29:56 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:29:59 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:33:09 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:33:09 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:33:09 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:49:38 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:49:40 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:49:40 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:51:13 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:51:13 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:52:02 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:52:02 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:52:04 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 08:52:04 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 09:24:20 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 10:00:25 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 10:03:27 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
